CONGRESSIONAL DISTRICTS BY COUNTY (NATIONAL)
State,County,Congressional District
01,001,02
01,003,01
01,005,02
01,007,06
01,009,04
01,009,06
01,011,02
01,013,02
01,015,03
01,017,03
01,019,03
01,019,04
01,021,06
01,023,07
01,025,01
01,025,07
01,027,03
01,029,03
01,031,02
01,033,04
01,035,02
01,037,06
01,039,02
01,041,02
01,043,04
01,045,02
01,047,07
01,049,04
01,051,02
01,053,01
01,055,04
01,057,04
01,059,04
01,061,02
01,063,07
01,065,07
01,067,02
01,069,02
01,071,04
01,071,05
01,073,06
01,073,07
01,075,04
01,077,05
01,079,04
01,081,03
01,083,05
01,085,07
01,087,03
01,089,05
01,091,07
01,093,04
01,095,04
01,097,01
01,099,01
01,101,02
01,101,03
01,101,07
01,103,05
01,105,07
01,107,07
01,109,02
01,111,03
01,113,03
01,115,03
01,117,06
01,119,07
01,121,03
01,123,03
01,125,04
01,125,07
01,127,04
01,129,01
01,131,07
01,133,04
04,001,01
04,003,02
04,005,01
04,007,01
04,007,04
04,009,01
04,011,01
04,012,04
04,013,01
04,013,03
04,013,04
04,013,05
04,013,06
04,013,07
04,013,08
04,013,09
04,015,01
04,015,04
04,017,01
04,019,01
04,019,02
04,019,03
04,021,01
04,021,03
04,021,04
04,023,03
04,025,01
04,025,04
04,027,03
04,027,04
05,001,01
05,003,04
05,005,01
05,007,03
05,009,03
05,011,04
05,013,04
05,015,03
05,017,01
05,019,04
05,021,01
05,023,01
05,025,04
05,027,04
05,029,02
05,031,01
05,033,03
05,033,04
05,035,01
05,037,01
05,039,04
05,041,01
05,043,04
05,045,02
05,047,04
05,049,01
05,051,04
05,053,04
05,055,01
05,057,04
05,059,04
05,061,04
05,063,01
05,065,01
05,067,01
05,069,01
05,069,04
05,071,04
05,073,04
05,075,01
05,077,01
05,079,01
05,081,04
05,083,04
05,085,01
05,087,04
05,089,03
05,091,04
05,093,01
05,095,01
05,097,04
05,099,04
05,101,03
05,101,04
05,103,04
05,105,02
05,107,01
05,109,04
05,111,01
05,113,04
05,115,03
05,117,01
05,119,02
05,121,01
05,123,01
05,125,02
05,127,04
05,129,01
05,129,03
05,131,03
05,131,04
05,133,04
05,135,01
05,137,01
05,139,04
05,141,02
05,143,03
05,145,02
05,147,01
05,149,04
06,001,13
06,001,15
06,001,17
06,003,04
06,005,04
06,007,01
06,009,04
06,011,03
06,013,05
06,013,09
06,013,11
06,013,15
06,015,02
06,017,04
06,019,04
06,019,16
06,019,21
06,019,22
06,021,01
06,021,03
06,023,02
06,025,51
06,027,08
06,029,21
06,029,23
06,031,21
06,033,03
06,033,05
06,035,01
06,037,23
06,037,25
06,037,26
06,037,27
06,037,28
06,037,29
06,037,30
06,037,32
06,037,33
06,037,34
06,037,35
06,037,37
06,037,38
06,037,39
06,037,40
06,037,43
06,037,44
06,037,47
06,039,04
06,039,16
06,041,02
06,043,04
06,045,02
06,047,16
06,049,01
06,051,08
06,053,20
06,055,05
06,057,01
06,057,04
06,059,38
06,059,39
06,059,45
06,059,46
06,059,47
06,059,48
06,059,49
06,061,01
06,061,04
06,063,01
06,065,36
06,065,41
06,065,42
06,065,50
06,067,03
